order_date,year,quarter,month,month_name,region,country,category,subcategory,customer_segment,quantity,unit_price,revenue,cost,profit,profit_margin
2022-12-23,2022,Q4,12,December,Asia Pacific,India,Electronics,Laptops,Corporate,16,1518.33,24293.28,17670.24,6623.04,0.2726
2023-03-07,2023,Q1,3,March,Latin America,Chile,Office Supplies,Binders,Corporate,7,145.58,1019.06,619.41,399.65,0.3922
2024-06-24,2024,Q2,6,June,Europe,Italy,Furniture,Storage,Consumer,16,213.02,3408.32,2142.81,1265.51,0.3713
2023-08-05,2023,Q3,8,August,Asia Pacific,China,Furniture,Storage,Corporate,14,917.62,12846.68,10824.77,2021.91,0.1574
2023-04-06,2023,Q2,4,April,Europe,France,Electronics,Phones,Consumer,19,1794.89,34102.91,24584.74,9518.17,0.2791
2024-08-31,2024,Q3,8,August,North America,Canada,Clothing,Outerwear,Home Office,2,118.02,236.04,171.31,64.73,0.2742
2023-02-03,2023,Q1,2,February,Latin America,Argentina,Clothing,Shirts,Consumer,15,157.9,2368.5,1346.1,1022.4,0.4317
2022-01-12,2022,Q1,1,January,North America,Canada,Furniture,Chairs,Home Office,16,478.7,7659.2,3894.78,3764.42,0.4915
2024-11-26,2024,Q4,11,November,Latin America,Brazil,Furniture,Chairs,Corporate,17,141.92,2412.64,2046.14,366.5,0.1519
2022-10-01,2022,Q4,10,October,Latin America,Chile,Office Supplies,Binders,Home Office,14,183.4,2567.6,1616.45,951.15,0.3704
2024-10-30,2024,Q4,10,October,Latin America,Chile,Clothing,Shirts,Home Office,9,286.86,2581.74,1589.74,992.0,0.3842
2024-08-30,2024,Q3,8,August,Latin America,Argentina,Furniture,Storage,Corporate,14,1452.65,20337.1,17027.58,3309.52,0.1627
2024-12-03,2024,Q4,12,December,Latin America,Chile,Furniture,Tables,Corporate,1,186.99,186.99,113.5,73.49,0.393
2022-06-08,2022,Q2,6,June,Asia Pacific,Japan,Office Supplies,Binders,Corporate,1,66.8,66.8,37.36,29.44,0.4407
2022-06-15,2022,Q2,6,June,Europe,France,Furniture,Tables,Home Office,10,1409.34,14093.4,10480.0,3613.4,0.2564
2022-11-09,2022,Q4,11,November,Europe,Germany,Clothing,Pants,Corporate,8,39.72,317.76,182.12,135.64,0.4269
2024-08-12,2024,Q3,8,August,Latin America,Brazil,Furniture,Tables,Corporate,15,1485.88,22288.2,12236.88,10051.32,0.451
2022-02-10,2022,Q1,2,February,Latin America,Argentina,Electronics,Laptops,Corporate,10,1767.01,17670.1,13416.36,4253.74,0.2407
2024-03-09,2024,Q1,3,March,Latin America,Chile,Furniture,Tables,Consumer,1,274.0,274.0,204.98,69.02,0.2519
2023-07-13,2023,Q3,7,July,Latin America,Argentina,Electronics,Laptops,Corporate,7,657.82,4604.74,3606.78,997.96,0.2167
2024-04-08,2024,Q2,4,April,Europe,Italy,Furniture,Storage,Home Office,3,443.81,1331.43,950.68,380.75,0.286
2022-02-25,2022,Q1,2,February,Latin America,Chile,Electronics,Phones,Home Office,7,1052.88,7370.16,5744.33,1625.83,0.2206
2024-05-27,2024,Q2,5,May,Europe,Italy,Furniture,Chairs,Corporate,1,180.74,180.74,115.47,65.27,0.3611
2024-02-16,2024,Q1,2,February,Asia Pacific,Japan,Clothing,Pants,Corporate,14,269.2,3768.8,2330.24,1438.56,0.3817
2024-02-16,2024,Q1,2,February,Asia Pacific,India,Office Supplies,Paper,Corporate,2,23.33,46.66,32.77,13.89,0.2977
2022-02-09,2022,Q1,2,February,North America,Canada,Furniture,Storage,Consumer,19,741.15,14081.85,9715.43,4366.42,0.3101
2022-03-24,2022,Q1,3,March,North America,USA,Furniture,Chairs,Home Office,17,133.03,2261.51,1781.87,479.64,0.2121
2022-11-09,2022,Q4,11,November,Europe,France,Clothing,Outerwear,Consumer,11,55.58,611.38,417.44,193.94,0.3172
2023-03-23,2023,Q1,3,March,Latin America,Chile,Office Supplies,Binders,Consumer,12,193.22,2318.64,1530.4,788.24,0.34
2022-08-23,2022,Q3,8,August,Europe,UK,Electronics,Accessories,Consumer,6,198.2,1189.2,815.76,373.44,0.314
2023-10-01,2023,Q4,10,October,Latin America,Argentina,Furniture,Chairs,Home Office,15,1073.31,16099.65,8829.43,7270.22,0.4516
2023-05-13,2023,Q2,5,May,North America,Mexico,Office Supplies,Art Supplies,Home Office,16,195.29,3124.64,2126.96,997.68,0.3193
2022-09-05,2022,Q3,9,September,North America,Canada,Clothing,Outerwear,Corporate,19,242.65,4610.35,2742.2,1868.15,0.4052
2022-05-22,2022,Q2,5,May,Asia Pacific,China,Clothing,Pants,Consumer,5,71.61,358.05,189.16,168.89,0.4717
2024-06-06,2024,Q2,6,June,Asia Pacific,India,Furniture,Tables,Consumer,9,1057.67,9519.03,4953.4,4565.63,0.4796
2024-12-04,2024,Q4,12,December,Asia Pacific,India,Clothing,Pants,Home Office,1,143.86,143.86,84.0,59.86,0.4161
2023-07-04,2023,Q3,7,July,Asia Pacific,Japan,Electronics,Laptops,Corporate,16,447.45,7159.2,5921.48,1237.72,0.1729
2023-05-15,2023,Q2,5,May,Latin America,Chile,Clothing,Pants,Consumer,1,287.36,287.36,217.89,69.47,0.2418
2024-10-09,2024,Q4,10,October,Asia Pacific,Japan,Clothing,Shirts,Corporate,5,191.28,956.4,618.66,337.74,0.3531
2023-06-14,2023,Q2,6,June,Asia Pacific,Australia,Office Supplies,Art Supplies,Consumer,12,115.38,1384.56,769.16,615.4,0.4445
2024-11-24,2024,Q4,11,November,Europe,Germany,Furniture,Storage,Corporate,14,210.35,2944.9,1569.5,1375.4,0.467
2024-09-27,2024,Q3,9,September,Europe,Italy,Clothing,Pants,Consumer,14,294.26,4119.64,2312.62,1807.02,0.4386
2022-07-10,2022,Q3,7,July,Asia Pacific,Japan,Clothing,Outerwear,Consumer,16,47.39,758.24,509.59,248.65,0.3279
2023-09-20,2023,Q3,9,September,Asia Pacific,India,Office Supplies,Binders,Home Office,7,72.53,507.71,336.43,171.28,0.3374
2023-11-09,2023,Q4,11,November,Asia Pacific,India,Office Supplies,Binders,Corporate,5,82.71,413.55,295.91,117.64,0.2845
2023-04-18,2023,Q2,4,April,North America,Mexico,Furniture,Tables,Consumer,5,1339.09,6695.45,3959.11,2736.34,0.4087
2023-01-15,2023,Q1,1,January,Europe,France,Clothing,Pants,Home Office,10,195.24,1952.4,1320.01,632.39,0.3239
2024-12-10,2024,Q4,12,December,Asia Pacific,China,Furniture,Tables,Consumer,1,845.92,845.92,625.46,220.46,0.2606
2024-01-10,2024,Q1,1,January,Europe,UK,Electronics,Accessories,Home Office,16,234.08,3745.28,2714.75,1030.53,0.2752
2022-09-17,2022,Q3,9,September,Asia Pacific,China,Electronics,Accessories,Corporate,17,1747.68,29710.56,21473.05,8237.51,0.2773
2022-09-16,2022,Q3,9,September,Latin America,Brazil,Electronics,Accessories,Corporate,12,837.52,10050.24,7287.94,2762.3,0.2748
2024-08-19,2024,Q3,8,August,Latin America,Argentina,Office Supplies,Paper,Consumer,1,163.18,163.18,128.46,34.72,0.2128
2023-06-02,2023,Q2,6,June,Latin America,Brazil,Electronics,Laptops,Corporate,12,833.6,10003.2,8366.84,1636.36,0.1636
2022-06-01,2022,Q2,6,June,North America,USA,Furniture,Storage,Corporate,10,373.49,3734.9,2225.58,1509.32,0.4041
2022-06-24,2022,Q2,6,June,Europe,Germany,Clothing,Outerwear,Home Office,12,48.22,578.64,293.01,285.63,0.4936
2023-04-08,2023,Q2,4,April,Latin America,Argentina,Clothing,Pants,Home Office,19,193.11,3669.09,2266.74,1402.35,0.3822
2024-05-28,2024,Q2,5,May,Asia Pacific,China,Electronics,Phones,Home Office,8,832.25,6658.0,4917.36,1740.64,0.2614
2023-03-09,2023,Q1,3,March,Asia Pacific,China,Furniture,Chairs,Consumer,2,450.19,900.38,606.51,293.87,0.3264
2022-06-03,2022,Q2,6,June,Europe,Germany,Clothing,Pants,Home Office,18,196.1,3529.8,2848.96,680.84,0.1929
2024-08-20,2024,Q3,8,August,Asia Pacific,China,Furniture,Tables,Home Office,4,673.48,2693.92,2259.26,434.66,0.1613
2023-08-03,2023,Q3,8,August,Latin America,Brazil,Furniture,Tables,Home Office,4,331.96,1327.84,1012.76,315.08,0.2373
2023-02-10,2023,Q1,2,February,Latin America,Brazil,Furniture,Storage,Consumer,3,1486.52,4459.56,2873.81,1585.75,0.3556
2023-06-29,2023,Q2,6,June,Europe,Germany,Electronics,Phones,Corporate,18,575.03,10350.54,7278.4,3072.14,0.2968
2023-08-15,2023,Q3,8,August,Latin America,Brazil,Clothing,Outerwear,Corporate,5,86.81,434.05,320.31,113.74,0.262
2024-04-04,2024,Q2,4,April,Asia Pacific,India,Clothing,Shirts,Home Office,3,48.87,146.61,119.62,26.99,0.1841
2022-03-23,2022,Q1,3,March,Latin America,Chile,Office Supplies,Art Supplies,Corporate,16,80.98,1295.68,782.81,512.87,0.3958
2022-02-22,2022,Q1,2,February,North America,USA,Electronics,Accessories,Corporate,19,839.48,15950.12,8035.56,7914.56,0.4962
2022-03-24,2022,Q1,3,March,Europe,Italy,Clothing,Pants,Consumer,9,257.2,2314.8,1444.94,869.86,0.3758
2024-06-11,2024,Q2,6,June,Latin America,Brazil,Clothing,Pants,Corporate,14,209.5,2933.0,1961.83,971.17,0.3311
2023-11-14,2023,Q4,11,November,Asia Pacific,China,Furniture,Tables,Corporate,15,198.26,2973.9,1582.4,1391.5,0.4679
2024-10-11,2024,Q4,10,October,Asia Pacific,India,Electronics,Laptops,Consumer,12,724.46,8693.52,6393.05,2300.47,0.2646
2023-10-07,2023,Q4,10,October,Asia Pacific,Australia,Electronics,Laptops,Home Office,4,1897.77,7591.08,5871.35,1719.73,0.2265
2022-01-03,2022,Q1,1,January,Latin America,Argentina,Electronics,Phones,Home Office,7,273.29,1913.03,1287.56,625.47,0.327
2024-01-11,2024,Q1,1,January,Latin America,Chile,Clothing,Shirts,Consumer,7,298.86,2092.02,1086.92,1005.1,0.4804
2023-07-01,2023,Q3,7,July,Europe,UK,Clothing,Outerwear,Corporate,3,268.56,805.68,501.79,303.89,0.3772
2022-09-06,2022,Q3,9,September,North America,Mexico,Furniture,Storage,Consumer,18,1455.49,26198.82,19408.36,6790.46,0.2592
2023-09-29,2023,Q3,9,September,North America,Mexico,Clothing,Shirts,Consumer,12,262.72,3152.64,2501.52,651.12,0.2065
2022-08-21,2022,Q3,8,August,Latin America,Brazil,Furniture,Tables,Home Office,14,1075.38,15055.32,7911.07,7144.25,0.4745
2023-08-21,2023,Q3,8,August,Asia Pacific,India,Clothing,Pants,Consumer,18,269.73,4855.14,2676.7,2178.44,0.4487
2024-07-24,2024,Q3,7,July,Europe,Italy,Furniture,Storage,Home Office,5,411.18,2055.9,1446.24,609.66,0.2965
2022-10-07,2022,Q4,10,October,North America,Canada,Clothing,Pants,Home Office,13,123.78,1609.14,1262.34,346.8,0.2155
2023-07-02,2023,Q3,7,July,North America,Canada,Office Supplies,Art Supplies,Home Office,7,197.27,1380.89,1054.56,326.33,0.2363
2024-09-29,2024,Q3,9,September,Europe,Italy,Clothing,Pants,Corporate,6,218.29,1309.74,875.67,434.07,0.3314
2024-02-12,2024,Q1,2,February,Latin America,Argentina,Furniture,Storage,Consumer,12,872.93,10475.16,6792.91,3682.25,0.3515
2024-02-24,2024,Q1,2,February,Europe,Italy,Electronics,Laptops,Home Office,19,311.28,5914.32,3976.9,1937.42,0.3276
2024-08-26,2024,Q3,8,August,Latin America,Argentina,Furniture,Tables,Consumer,13,655.39,8520.07,5964.18,2555.89,0.3
2022-09-16,2022,Q3,9,September,Asia Pacific,China,Clothing,Shirts,Home Office,8,52.91,423.28,307.82,115.46,0.2728
2024-07-24,2024,Q3,7,July,North America,Mexico,Furniture,Tables,Home Office,1,1047.08,1047.08,610.58,436.5,0.4169
2022-11-13,2022,Q4,11,November,North America,Canada,Office Supplies,Binders,Home Office,17,21.16,359.72,246.38,113.34,0.3151
2024-03-25,2024,Q1,3,March,North America,Canada,Clothing,Pants,Home Office,6,244.59,1467.54,1236.06,231.48,0.1577
2024-09-26,2024,Q3,9,September,North America,Mexico,Electronics,Phones,Home Office,13,182.0,2366.0,1920.96,445.04,0.1881
2023-08-12,2023,Q3,8,August,Europe,Germany,Clothing,Shirts,Home Office,11,277.35,3050.85,1795.57,1255.28,0.4115
2022-07-25,2022,Q3,7,July,Latin America,Brazil,Office Supplies,Paper,Consumer,19,194.01,3686.19,2517.98,1168.21,0.3169
2023-10-27,2023,Q4,10,October,North America,Canada,Office Supplies,Binders,Corporate,9,47.28,425.52,256.62,168.9,0.3969
2022-10-26,2022,Q4,10,October,Europe,Italy,Furniture,Chairs,Consumer,1,971.13,971.13,684.17,286.96,0.2955
2022-06-11,2022,Q2,6,June,Latin America,Chile,Furniture,Tables,Home Office,16,1126.68,18026.88,14788.15,3238.73,0.1797
2022-10-21,2022,Q4,10,October,Europe,Italy,Office Supplies,Binders,Corporate,10,190.33,1903.3,1544.7,358.6,0.1884
2022-01-20,2022,Q1,1,January,Latin America,Argentina,Furniture,Chairs,Corporate,12,231.59,2779.08,1716.03,1063.05,0.3825
2023-12-09,2023,Q4,12,December,Asia Pacific,India,Office Supplies,Binders,Corporate,4,95.42,381.68,238.04,143.64,0.3763
2023-02-12,2023,Q1,2,February,Latin America,Argentina,Electronics,Phones,Corporate,18,605.28,10895.04,6821.61,4073.43,0.3739
2024-01-06,2024,Q1,1,January,Asia Pacific,Australia,Electronics,Accessories,Corporate,4,1973.8,7895.2,5876.84,2018.36,0.2556
2023-07-17,2023,Q3,7,July,North America,Mexico,Electronics,Accessories,Home Office,17,631.55,10736.35,6913.38,3822.97,0.3561
2024-10-14,2024,Q4,10,October,Asia Pacific,Japan,Office Supplies,Paper,Home Office,13,138.52,1800.76,1002.87,797.89,0.4431
2023-01-25,2023,Q1,1,January,Asia Pacific,Japan,Electronics,Accessories,Home Office,14,244.78,3426.92,2841.55,585.37,0.1708
2022-03-22,2022,Q1,3,March,Asia Pacific,India,Electronics,Accessories,Corporate,19,1478.87,28098.53,20081.89,8016.64,0.2853
2022-09-27,2022,Q3,9,September,North America,Canada,Office Supplies,Art Supplies,Corporate,2,21.14,42.28,34.11,8.17,0.1932
2022-12-26,2022,Q4,12,December,Europe,France,Office Supplies,Art Supplies,Home Office,13,37.14,482.82,310.91,171.91,0.3561
2023-07-13,2023,Q3,7,July,Europe,UK,Clothing,Pants,Home Office,1,154.5,154.5,130.53,23.97,0.1551
2023-11-25,2023,Q4,11,November,North America,Canada,Electronics,Phones,Consumer,11,1228.85,13517.35,8560.7,4956.65,0.3667
2024-03-24,2024,Q1,3,March,Asia Pacific,China,Clothing,Shirts,Corporate,17,254.73,4330.41,2875.58,1454.83,0.336
2022-09-11,2022,Q3,9,September,Latin America,Argentina,Office Supplies,Art Supplies,Corporate,3,31.1,93.3,47.1,46.2,0.4952
2024-01-31,2024,Q1,1,January,North America,Mexico,Furniture,Tables,Consumer,6,1062.23,6373.38,4378.65,1994.73,0.313
2023-11-03,2023,Q4,11,November,Europe,Germany,Clothing,Outerwear,Corporate,5,299.06,1495.3,1038.34,456.96,0.3056
2024-04-16,2024,Q2,4,April,North America,USA,Electronics,Phones,Corporate,5,1479.63,7398.15,5659.43,1738.72,0.235
2024-10-05,2024,Q4,10,October,North America,USA,Furniture,Storage,Consumer,19,431.23,8193.37,5388.7,2804.67,0.3423
2024-03-06,2024,Q1,3,March,Latin America,Argentina,Clothing,Outerwear,Home Office,14,90.4,1265.6,754.5,511.1,0.4038
2022-11-13,2022,Q4,11,November,Latin America,Chile,Electronics,Laptops,Home Office,4,534.42,2137.68,1571.4,566.28,0.2649
2024-04-15,2024,Q2,4,April,Asia Pacific,China,Office Supplies,Paper,Corporate,2,74.84,149.68,80.79,68.89,0.4602
2024-06-29,2024,Q2,6,June,Europe,UK,Electronics,Accessories,Corporate,2,1004.8,2009.6,1589.55,420.05,0.209
2024-01-05,2024,Q1,1,January,North America,Canada,Office Supplies,Paper,Consumer,18,171.18,3081.24,2135.82,945.42,0.3068
2024-07-20,2024,Q3,7,July,North America,Mexico,Furniture,Storage,Home Office,5,205.54,1027.7,798.66,229.04,0.2229
2022-02-13,2022,Q1,2,February,North America,Canada,Furniture,Chairs,Home Office,17,270.3,4595.1,2343.84,2251.26,0.4899
2023-02-25,2023,Q1,2,February,North America,Mexico,Furniture,Storage,Consumer,15,1194.23,17913.45,12965.33,4948.12,0.2762
2023-04-23,2023,Q2,4,April,Asia Pacific,Japan,Electronics,Laptops,Consumer,11,504.63,5550.93,3040.41,2510.52,0.4523
2022-09-24,2022,Q3,9,September,Asia Pacific,Japan,Electronics,Accessories,Consumer,2,766.12,1532.24,1082.48,449.76,0.2935
2022-09-27,2022,Q3,9,September,North America,Canada,Furniture,Storage,Corporate,15,701.21,10518.15,8587.6,1930.55,0.1835
2022-02-02,2022,Q1,2,February,Europe,UK,Electronics,Phones,Home Office,6,956.73,5740.38,4699.45,1040.93,0.1813
2024-05-12,2024,Q2,5,May,North America,Mexico,Electronics,Laptops,Corporate,10,1738.49,17384.9,14470.01,2914.89,0.1677
2024-01-12,2024,Q1,1,January,North America,Canada,Furniture,Storage,Consumer,4,732.27,2929.08,2327.83,601.25,0.2053
2024-12-03,2024,Q4,12,December,Asia Pacific,India,Electronics,Phones,Corporate,17,590.66,10041.22,6634.21,3407.01,0.3393
